id,primary_category,applied_word_problem_counting_mcq,applied_word_problem_exact_expression_preferred,applied_word_problem_exact_or_high_precision,applied_word_problem_exponential_modeling,applied_word_problem_finance_percent_comparison,applied_word_problem_function_interpretation,applied_word_problem_geometry_application,applied_word_problem_half_life_decay_exact,applied_word_problem_high_precision_money,applied_word_problem_inequality_constraint,applied_word_problem_linear_modeling,applied_word_problem_mcq,applied_word_problem_mixture_exact_expression,applied_word_problem_modular_crypto_mcq,applied_word_problem_multi_answer,applied_word_problem_multi_step,applied_word_problem_piecewise_case,applied_word_problem_quantity_tracking,applied_word_problem_rate_ratio_model,applied_word_problem_rational_function_model,applied_word_problem_step_function_ceiling,applied_word_problem_table_schedule_reasoning,applied_word_problem_unit_conversion_application,arithmetic_algebra_base_arithmetic,arithmetic_algebra_canonical_symbolic_syntax,arithmetic_algebra_conversion_representation,arithmetic_algebra_discrete_integer,arithmetic_algebra_equation_solving,arithmetic_algebra_formula_then_evaluate,arithmetic_algebra_function_or_relation,arithmetic_algebra_interval_or_set,arithmetic_algebra_letter_set_selection,arithmetic_algebra_mcq,arithmetic_algebra_multi_answer,arithmetic_algebra_numeric_evaluation,arithmetic_algebra_numeric_precision,arithmetic_algebra_ordered_pair_answer,arithmetic_algebra_scientific_expression_style,arithmetic_algebra_symbolic_manipulation,arithmetic_algebra_table_or_sequence,arithmetic_algebra_temperature_conversion,calculus_antiderivative_mcq_verify,calculus_complex_residue,calculus_definite_integral_numeric_mcq,calculus_derivative_extrema,calculus_differential_equation,calculus_discrete_series_convergence,calculus_domain_range_radical_rational,calculus_endpoint_extrema_check,calculus_exponential_model,calculus_first_order_ivp,calculus_fourier_sobolev_boundary,calculus_improper_parameter_integral,calculus_initial_condition_check,calculus_integral,calculus_limit_asymptotic,calculus_mcq_option_mapping,calculus_numeric_mcq_close_options,calculus_numeric_precision_freeform,calculus_optimization_geometry,calculus_series_approximation,calculus_series_special_function,calculus_surface_area_revolution,calculus_trig_derivative_simplification,calculus_trig_integral,calculus_volume_revolution,discrete_computable_definition_sequence,discrete_counting_dp,discrete_graph_grid_walk,discrete_mcq_option_mapping,discrete_named_sequence,discrete_number_theory,discrete_set_family_extremal,discrete_xlist_ylist_sequence,general_math_complex_roots,general_math_direct_formula,general_math_mcq_option_mapping,general_math_modular_number_theory,general_math_percentage_or_rate,general_math_set_combinatorics,general_math_special_definition,geometry_trig_angle_conversion,geometry_trig_angle_of_elevation_two_angles,geometry_trig_arc_length_sector,geometry_trig_arc_radius_decimal_preferred,geometry_trig_bearing_vector_contract,geometry_trig_circle_geometry,geometry_trig_coordinate_point,geometry_trig_coordinate_point_exact,geometry_trig_general_solution_exact_period,geometry_trig_high_precision_decimal_preferred,geometry_trig_inverse_trig,geometry_trig_law_of_sines_cosines,geometry_trig_mcq_long_reasoning,geometry_trig_mcq_option_mapping,geometry_trig_multi_answer_order,geometry_trig_parallel_triangle_area_mcq,geometry_trig_precision_numeric,geometry_trig_projectile_motion,geometry_trig_quadrant_sign,geometry_trig_right_triangle,geometry_trig_trig_equation,linear_algebra_combinatorial_matrix_determinant,linear_algebra_determinant_or_matrix_property,linear_algebra_freeform_multi_answer,linear_algebra_matrix_transformation_or_mapping,linear_algebra_mcq_option_mapping,linear_algebra_system_word_multi_answer,statistics_probability_chi_square_decision_contract,statistics_probability_chi_square_goodness_fit,statistics_probability_chi_square_independence,statistics_probability_coded_categorical_answer,statistics_probability_confidence_interval,statistics_probability_descriptive_table,statistics_probability_distribution,statistics_probability_embedded_letter_choices,statistics_probability_expected_value_variance,statistics_probability_f_critical_embedded_choices,statistics_probability_high_precision_numeric,statistics_probability_hypothesis_test,statistics_probability_long_regression_vector,statistics_probability_mcq_option_mapping,statistics_probability_multi_answer,statistics_probability_multi_blank_table,statistics_probability_probability_counting,statistics_probability_probability_threshold_log,statistics_probability_regression_correlation,statistics_probability_rounding_direction,statistics_probability_sample_size_margin_error,statistics_probability_sample_size_raw_value,statistics_probability_sampling_distribution,statistics_probability_stat_table_high_precision,statistics_probability_true_false_abbreviation,statistics_probability_two_mean_equal_sample_size,statistics_probability_type_i_type_ii_power,statistics_probability_type_ii_error_beta,statistics_probability_uppercase_categorical
0,arithmetic_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,statistics_probability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,statistics_probability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,statistics_probability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,geometry_trig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,statistics_probability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
6,geometry_trig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,statistics_probability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,applied_word_problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,arithmetic_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
