id,primary_category,discrete_boolean_logic_calculus,discrete_computable_definition_sequence,discrete_counting_dp,discrete_graph_grid_walk,discrete_mcq_option_mapping,discrete_named_sequence,discrete_number_theory,discrete_numeric_root_mistag,discrete_set_family_extremal,discrete_xlist_ylist_sequence,linear_algebra_column_dependence_multi_part,linear_algebra_combinatorial_matrix_determinant,linear_algebra_determinant_or_matrix_property,linear_algebra_freeform_multi_answer,linear_algebra_linear_programming_word_problem,linear_algebra_matrix_transformation_or_mapping,linear_algebra_mcq_option_mapping,linear_algebra_mistag_xlist_ylist_sequence,linear_algebra_rank_parameter_condition,linear_algebra_system_word_multi_answer,linear_algebra_vector_projection
4,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,discrete_algorithm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,discrete_algorithm,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
82,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
85,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
87,discrete_algorithm,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,discrete_algorithm,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
123,discrete_algorithm,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
138,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
150,discrete_algorithm,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,discrete_algorithm,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,discrete_algorithm,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
232,discrete_algorithm,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235,discrete_algorithm,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
246,discrete_algorithm,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
282,discrete_algorithm,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
295,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
306,discrete_algorithm,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
316,discrete_algorithm,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
329,discrete_algorithm,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,discrete_algorithm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
361,discrete_algorithm,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,discrete_algorithm,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
420,discrete_algorithm,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
422,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
480,discrete_algorithm,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
499,discrete_algorithm,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
502,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
507,discrete_algorithm,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
541,discrete_algorithm,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
542,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
552,discrete_algorithm,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
553,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
600,discrete_algorithm,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
602,discrete_algorithm,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
612,discrete_algorithm,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
617,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
620,discrete_algorithm,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,discrete_algorithm,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
641,discrete_algorithm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
685,discrete_algorithm,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,discrete_algorithm,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
733,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
